CCTV1,rtp://225.1.1.120:5002$天津uni
CCTV2,rtp://225.1.1.133:5002$天津uni
CCTV3,rtp://225.1.1.158:5002$天津uni
CCTV4,rtp://225.1.1.150:5002$天津uni
CCTV5,rtp://225.1.1.160:5002$天津uni
CCTV5+,rtp://225.1.1.121:5002$天津uni
CCTV6,rtp://225.1.1.195:5002$天津uni
CCTV7,rtp://225.1.1.138:5002$天津uni
CCTV8,rtp://225.1.1.196:5002$天津uni
CCTV9,rtp://225.1.1.119:5002$天津uni
CCTV10,rtp://225.1.1.140:5002$天津uni
CCTV11,rtp://225.1.2.192:5002$天津uni
CCTV12,rtp://225.1.1.142:5002$天津uni
CCTV13,rtp://225.1.2.193:5002$天津uni
CCTV14,rtp://225.1.1.144:5002$天津uni
CCTV15,rtp://225.1.2.194:5002$天津uni
CCTV16,rtp://225.1.2.237:5002$天津uni
CCTV17,rtp://225.1.2.52:5002$天津uni
CF风云足球,rtp://225.1.2.168:5002$天津uni
CF高尔夫网球,rtp://225.1.2.169:5002$天津uni
CF央视台球,rtp://225.1.2.170:5002$天津uni
CF第一剧场,rtp://225.1.2.175:5002$天津uni
CF风云剧场,rtp://225.1.2.174:5002$天津uni
CF怀旧剧场,rtp://225.1.2.173:5002$天津uni
CF世界地理,rtp://225.1.2.171:5002$天津uni
CF兵器科技,rtp://225.1.2.166:5002$天津uni
CF女性时尚,rtp://225.1.2.172:5002$天津uni
CF风云音乐,rtp://225.1.2.176:5002$天津uni
CF央视文化精品,rtp://225.1.2.177:5002$天津uni
CF电视指南,rtp://225.1.2.167:5002$天津uni
CETV5,rtp://225.1.2.207:5002$天津uni
WA安徽卫视,rtp://225.1.1.127:5002$天津uni
WB北京卫视,rtp://225.1.1.113:5002$天津uni
WC重庆卫视,rtp://225.1.1.155:5002$天津uni
WD东方卫视,rtp://225.1.2.31:5002$天津uni
WG甘肃卫视,rtp://225.1.1.159:5002$天津uni
WG广东卫视,rtp://225.1.1.116:5002$天津uni
WG广西卫视,rtp://225.1.2.81:5002$天津uni
WG贵州卫视,rtp://225.1.2.28:5002$天津uni
WH海南卫视,rtp://225.1.2.82:5002$天津uni
WH河北卫视,rtp://225.1.2.27:5002$天津uni
WH河南卫视,rtp://225.1.2.61:5002$天津uni
WH黑龙江卫视,rtp://225.1.1.115:5002$天津uni
WH湖北卫视,rtp://225.1.1.147:5002$天津uni
WH湖南卫视,rtp://225.1.1.114:5002$天津uni
WJ吉林卫视,rtp://225.1.2.26:5002$天津uni
WJ江苏卫视,rtp://225.1.1.126:5002$天津uni
WJ江西卫视,rtp://225.1.2.29:5002$天津uni
WL辽宁卫视,rtp://225.1.1.154:5002$天津uni
WS三沙卫视,rtp://225.1.1.182:5002$天津uni
WS深圳卫视,rtp://225.1.1.117:5002$天津uni
WS四川卫视,rtp://225.1.1.123:5002$天津uni
WT天津卫视,rtp://225.1.1.111:5002$天津uni
WY云南卫视,rtp://225.1.1.250:5002$天津uni
WZ浙江卫视,rtp://225.1.1.112:5002$天津uni
WS陕西卫视,rtp://225.1.1.41:5002$天津uni
WS山西卫视,rtp://225.1.1.50:5002$天津uni
WN内蒙古卫视,rtp://225.1.1.32:5002$天津uni
WN宁夏卫视,rtp://225.1.1.56:5002$天津uni
WX西藏卫视,rtp://225.1.1.51:5002$天津uni
WX新疆卫视,rtp://225.1.1.35:5002$天津uni
WB兵团卫视,rtp://225.1.1.57:5002$天津uni
CHC家庭影院,rtp://225.1.1.213:5002$天津uni
CHC动作电影,rtp://225.1.1.215:5002$天津uni
CHC影迷电影,rtp://225.1.1.214:5002$天津uni
Y北京纪实科教,rtp://225.1.2.30:5002$天津uni
Y纪实人文,rtp://225.1.2.25:5002$天津uni
Y金鹰纪实,rtp://225.1.1.124:5002$天津uni
Y乐游,rtp://225.1.1.145:5002$天津uni
Y魅力足球,rtp://225.1.1.137:5002$天津uni
Y游戏风云,rtp://225.1.1.135:5002$天津uni
Y金色学堂,rtp://225.1.1.236:5002$天津uni
Y生活时尚,rtp://225.1.1.143:5002$天津uni
Y都市剧场,rtp://225.1.1.146:5002$天津uni
Y欢笑剧场,rtp://225.1.1.139:5002$天津uni
Y动漫秀场,rtp://225.1.1.134:5002$天津uni
Y金鹰卡通,rtp://225.1.2.236:5002$天津uni
T天津新闻,rtp://225.1.1.130:5002$天津uni
T天津文艺,rtp://225.1.1.131:5002$天津uni
T天津影视,rtp://225.1.1.149:5002$天津uni
T天津都市,rtp://225.1.1.128:5002$天津uni
T天津体育,rtp://225.1.1.122:5002$天津uni
T天津教育,rtp://225.1.1.129:5002$天津uni
